,operating_frequency,coplanar_waveguide_quarter_wavelength,signal_width,gap_width,ground_width,input_impedance_at_lambda_4,desired_line_impedance,line_impedance_finite_ground,line_impedance_infinite_ground
0,12000000000.0,3162.621085118508,2.5e-05,2.585e-06,5e-05,50,50.0,50.00930541271086,49.3636597562268
1,12000000000.0,3162.621085118508,2.3e-05,7e-06,4.6e-05,50,50.0,69.19252964737217,67.7559195031196
2,11000000000.0,3450.1320928565533,2.5e-05,2.585e-06,5e-05,50,50.0,50.00930541271086,49.3636597562268
3,10500000000.0,3614.4240972782945,2.5e-05,2.585e-06,5e-05,50,50.0,50.00930541271086,49.3636597562268
4,25000000000.0,1518.0581208568835,2.5e-05,2e-06,5e-05,50,50.0,46.674658353362,46.12663622789855
5,25000000000.0,1518.0581208568835,5e-06,2e-05,1e-05,50,158.11388300841898,159.63811977740895,146.42261014545247
6,25000000000.0,1518.0581208568835,1e-05,3.255e-06,2e-05,50,70.71067811865476,70.71430646896586,69.19561503883322
7,45000000000.0,843.3656226982686,2.5e-05,2.585e-06,5e-05,50,50.0,50.00930541271086,49.3636597562268
8,10500000000.0,3614.4240972782945,2.5e-05,2.585e-06,5e-05,50,50.0,50.00930541271086,49.3636597562268
9,25000000000.0,1518.0581208568835,8e-06,3.1e-05,1.6e-05,50,158.11388300841898,158.15720640840757,145.25060796549187
